,Original Text,BERT (substitue),BERT (insert),word2vec (substitue),word2vec (insert),wordnet (insert)
0,I'd like a sharp cello,j'd like a sharp over,i'd like a new sharp weapon cello,I ' B_Gde like a sharp violinists,I ' d like a Botaneco sharp DoublePositive cello,Single ' d like a acute cello
1,give me a dry acoustic guitar,give me a dry voiced guitar,give me even a dry acoustic guitar,Giving me a dry acoustic guitar,give me a dry Brima acoustic guitar,give me a dry acoustic guitar
2,give me a metallic harp,give me that metallic harp,now give me a metallic harp,squander me a metallic harp,give me a wear metallic harp,give me a metallic mouth harp
3,give me a dirty organ,make me a dirty organ,give... me a dirty organ,send me a dirty organ,give BY me a dirty organ,generate me a dirty organ
4,give me a hollow piano,make me a hollow piano,give me a small hollow piano,give get'em a hollow piano,give me a Mrs hollow piano,pay me a hollow piano
5,give me a sharp trumpet,give me a grand trumpet,give me back a sharp trumpet,give me a sharp tenor_saxes,give me a WATCHDOGS sharp trumpet,throw me a sharp trumpet
6,give me a cold triangle,give her a cold triangle,give me a very cold triangle,give me a cold symmetrical_triangle,give me ZiiLabs a cold triangle,chip in me a cold triangle
7,give me dark drums,give me new drums,give me those dark drums,give me dark marimbas,give me Montante dark drums,give me dark membranophone
8,give me a soft french horn,give me a wonderful french horn,give me a full soft french horn,give me a soft french trumpets_saxophones,give me Xinjiang a soft french horn,give pine tree state a soft french horn
9,give me a dull clarinet,give me a good clarinet,give me to a dull clarinet,give me a mind_numbingly_dull clarinet,give me a Announce dull clarinet,chip in me a dull clarinet
10,give me a smooth operator,found me a smooth operator,just give me a smooth operator,suck me a smooth operator,give identifier me a smooth operator,give pine tree state a smooth operator
11,Give me a simple square bass,give me a simple square when,give me on a simple square bass,Give me a simple square buzzbait,Give me a simple Sebesky square bass,Turn over me a simple square bass
12,Give me an orchestral string,give me an orchestral symphony,give me an aching orchestral string,Give me an orchestral unbroken_string,Aon Give me an orchestral string,Pass me an orchestral string
13,Give me an analog pad,give me your analog pad,just give me an analog pad,Give me perhaps analog pad,Give me an Zakia analog pad,Pass on me an analog pad
14,Give me a simple sine bass,teaches me a simple lesson bass,you give me a single simple sine bass,Give me a TaskPaper sine bass,Give me a simple Ahmadiyya sine bass,Give maine a simple sine bass
15,Give me a chord preset,give me a small preset,but give me a chord preset,Give_Yourself me a chord preset,Give blistering me a chord preset,Give pine tree state a chord preset
16,Get me a 909 closed hi-hat,get me a 909 g flip - hat,get with me me a 909 closed hi - hat,Grab yeah a 909 closed hi - hat,Get me Picazzo a 909 closed ascribe hi - hat,Get maine a 909 close hi - hat
17,Get me an 808 open hi-hat,get me an empty open bel - hat,get me an 808 file open on hi - hat,Get me massive 808 open jared - hat,Lieutenant Get me an 808 open Chugani hi - hat,Get me an 808 loose hi - hat
18,Give me a round bass,swing me a round bass,give him me a round bass,Give me a GI_Newsletter bass,Give Long me a round bass,Give maine a round bass
19,Give me a sharp synth,get me a sharp synth,give... me a sharp synth,Give me a sharp piano_riff,victimless Give me a sharp synth,Give me a sharp synth
20,Give me a warm pad,give me a break pad,give me only a warm pad,Give me a warm ballpoint_ink,Give Edward me a warm pad,Give pine tree state a warm pad
21,Give me a wide stereo pad,give me a wide stereo...,he give me a wide stereo pad,Give me a wide Dolby_Digital_DTS pad,Give Easton me a wide stereo pad,Give me a wide stereo domiciliation
22,"Give me a mono, warm, round synth bass","give me a quick, deep, fuzzy synth bass","so give me a mono, really warm, round synth and bass","Give SERENA_WILLIAMS_Well a coaxial_digital, balmy_weather, round synth bass","Transfer Give me a mono, VanDriel warm, Simon round synth bass","Open maine a mono, quick, round synth bass"
23,Make me a soft flute that sounds like a chirping bird ,lining up a soft flute that sounds like frogs chirping bird,make me do a nice soft flute that sounds like a chirping pigeon bird,Make him a soft baroque_flute that sounds like a peep_peep bird,Make me a soft flute broker that sounds Intermittent like Bin a chirping bird,Make maine a soft flute that sound like a chirping shuttlecock
24,Give me a dark brassy sound,music is a dark brassy sound,those give me a familiar dark brassy sound,Give me a noticeably_darker brassy sound,Give me a dark brassy Shamel sound,Give maine a dark brassy sound
25,Can you give me a wailing guitar?,can you give me a romantic embrace?,everybody can hear you give me a wailing guitar?,Can you sleepwear_infants me a wailing resonator_guitar?,Can slatwall you give me lions a wailing guitar?,Potty you sacrifice me a wailing guitar?
26,Get me a scratchy violin,get me a scratchy heart,get me for a scratchy violin,Get you a scratchy violin,Get me a scratchy Great violin,Nonplus me a scratchy violin
27,Give me a Star Wars laser beam sound,makes me a star wars tractor beam sound,please give me a star wars laser beam for sound,Give me a Sue_Loughlin_Tribune Eyewitness_Accounts laser beam sound,Give Mahfoodh me a Star Wars laser beam al sound,Establish me a Star Wars laser light beam sound
28,Can you combine a low piano sound with a roaring lion?,can you do a loud piano sound with its roaring lion?,why can do you combine for a low piano sound with a roaring lion?,Can thatyou combine a low Wurlitzer_piano synth_sounds with a roaring lion?,Can you combine a La low HOMOSASSA piano sound with NEW a roaring lion?,Behind you combine a low piano phone with a howl lion?
29,Get me something like a compact bleep,get at that like a compact bleep,get me something like a free compact cassette bleep,Get_Ripped_Off me something like a sleek_stylish bleep,Get me divinely something Todo like a compact bleep,Get me something comparable a compact beep
30,Give me a funky guitar,get me a funky guitar,give me a funky electric guitar,Give me a quirky guitar,Mark Give me a funky guitar,Give me a foul smelling guitar
31,Give me a percussive violin,find me dear percussive violin,now give me a percussive voice violin,Give CAPTAIN_PAUL_AZINGER a percussive violin,Give me a percussive conservative violin,Give me a percussive violin
32,Give me a percussive guitar,show me yours percussive guitar,go give me a percussive piano guitar,Appreciate me a percussive guitar,Consumers Give me a percussive guitar,Give me a percussive guitar
33,Give me a flute-like trumpet sound,give me another flute - like vocal sound,now give me a flute - like trumpet of sound,Give get'em a flute - Q.Do trumpet sound,Give me SWRS a flute - lensed like trumpet sound,Give me a flute - like horn sound
34,"Something nasal, anything","something nasal, heartbeat","said something nasal, anything","Something nasal, anyplace_else","Something Fatmire nasal, anything","Something nasal, anything"
35,Get me a screeching female voice,give me a certain female voice,to get behind me a screeching female voice,Rely me a screeching female voice,Get me a screeching female Flewwelling voice,Get me a screeching distaff voice
36,Give me a sound like gentle birds,giving her a sound like gentle birds,give me a sound it like really gentle birds,Give hadn'tI a sound Chiddy_Bang_maybe gentle birds,Give Dickersons me a sound like EPOCH gentle birds,Give maine a sound like gentle bird
37,I'd like a sweet bass,i'sound like a great bass,i'd do like a sweet red bass,Yeah ' *_lls like a sweet bass,I ' d Ambrose like a sweet Violet bass,I ' vitamin d like a sweet bass voice
38,A noisy piano and flute please,a noisy piano on flute please,a noisy muted piano and flute please,ANOTHER noisy piano and flute please,A Asphalt noisy piano and flute please,A noisy piano and flute please
39,Please give me a brilliant acoustic guitar,to give you a brilliant acoustic guitar,please give me quite a brilliant acoustic boogie guitar,Please give me a brilliant reverb_soaked Autoharp,Please give me a information brilliant acoustic WCOG guitar,Please generate me a brilliant acoustical guitar
40,Give me a harsh drum,sending me a harsh drum,you give me a harsh drum,Give don'tI a harsh drum,Give me a STOOPID harsh drum,Pass me a harsh drum
41,Give me a warm synth,give me this warm synth,pray give me a warm synth,Username_Password_Remember me a warm synth,Give me Bergelt a warm synth,Give maine a warm synth
