text,split_sentences
Example I would like to find a dark sounding piano,"[('Example', 0), ('I', 0), ('would', 0), ('like', 0), ('to', 0), ('find', 0), ('a', 0), ('dark', 2), ('sounding', 0), ('piano', 1)]"
Example The composition that I am trying to write would really benifit from a thick bass,"[('Example', 0), ('The', 0), ('composition', 0), ('that', 0), ('I', 0), ('am', 0), ('trying', 0), ('to', 0), ('write', 0), ('would', 0), ('really', 0), ('benifit', 0), ('from', 0), ('a', 0), ('thick', 2), ('bass', 1)]"
Example Does anyone know what kind of guitar pedals I could use to generate a thin sound,"[('Example', 0), ('Does', 0), ('anyone', 0), ('know', 0), ('what', 0), ('kind', 0), ('of', 0), ('guitar', 1), ('pedals', 0), ('I', 0), ('could', 0), ('use', 0), ('to', 0), ('generate', 0), ('a', 0), ('thin', 2), ('sound', 0)]"
Electric guitar timbre is so malleable that generalizations like this make little sense Beyond the instrument itself every guitarist has personal preferences in amplifiers and a wide variety of stomp box effects The overtone series is dependent on the selection of vacuum tubes in the amplifier - the British Marshall vs American Fender sound In this Bill Frisell concert the difference in timbre between violin and electric guitar couldn t be more obvious,"[('Electric', 0), ('guitar', 0), ('timbre', 0), ('is', 0), ('so', 0), ('malleable', 0), ('that', 0), ('generalizations', 0), ('like', 0), ('this', 0), ('make', 0), ('little', 0), ('sense', 0), ('Beyond', 0), ('the', 0), ('instrument', 0), ('itself', 0), ('every', 0), ('guitarist', 0), ('has', 0), ('personal', 0), ('preferences', 0), ('in', 0), ('amplifiers', 0), ('and', 0), ('a', 0), ('wide', 0), ('variety', 0), ('of', 0), ('stomp', 0), ('box', 0), ('effects', 0), ('The', 0), ('overtone', 0), ('series', 0), ('is', 0), ('dependent', 0), ('on', 0), ('the', 0), ('selection', 0), ('of', 0), ('vacuum', 0), ('tubes', 0), ('in', 0), ('the', 0), ('amplifier', 0), ('-', 0), ('the', 0), ('British', 2), ('Marshall', 2), ('vs', 0), ('American', 2), ('Fender', 2), ('sound', 0), ('In', 0), ('this', 0), ('Bill', 0), ('Frisell', 0), ('concert', 0), ('the', 0), ('difference', 0), ('in', 0), ('timbre', 0), ('between', 0), ('violin', 1), ('and', 0), ('electric', 0), ('guitar', 0), ('couldn', 0), ('t', 0), ('be', 0), ('more', 0), ('obvious', 0)]"
Not to be that guy but having played violin for about 35 years and guitar for 30 electric could be 29 5 they are very very different especially the timbre Also you seem to be referring to increased sustain and the distortion That especially the second has nothing to do with the instrument and everything to do with the musical wave signal over wires air that is converted back to sound after going through many many things including an amplifier I have an effect that makes my Electric sound like a Violin GR-55 and I have a pickup for a violin that allows me to make it sound like a sustained distorted electric when picked The timbre is still quite different though that is what makes them different sounding really Even a fretted steel strung violin or a fretless 4 string electric guitar still sounds like a violin vs a guitar,"[('Not', 0), ('to', 0), ('be', 0), ('that', 0), ('guy', 0), ('but', 0), ('having', 0), ('played', 0), ('violin', 1), ('for', 0), ('about', 0), ('35', 0), ('years', 0), ('and', 0), ('guitar', 1), ('for', 0), ('30', 0), ('electric', 0), ('could', 0), ('be', 0), ('29', 0), ('5', 0), ('they', 0), ('are', 0), ('very', 0), ('very', 0), ('different', 0), ('especially', 0), ('the', 0), ('timbre', 0), ('Also', 0), ('you', 0), ('seem', 0), ('to', 0), ('be', 0), ('referring', 0), ('to', 0), ('increased', 0), ('sustain', 2), ('and', 0), ('the', 0), ('distortion', 2), ('That', 0), ('especially', 0), ('the', 0), ('second', 0), ('has', 0), ('nothing', 0), ('to', 0), ('do', 0), ('with', 0), ('the', 0), ('instrument', 0), ('and', 0), ('everything', 0), ('to', 0), ('do', 0), ('with', 0), ('the', 0), ('musical', 0), ('wave', 0), ('signal', 0), ('over', 0), ('wires', 0), ('air', 0), ('that', 0), ('is', 0), ('converted', 0), ('back', 0), ('to', 0), ('sound', 0), ('after', 0), ('going', 0), ('through', 0), ('many', 0), ('many', 0), ('things', 0), ('including', 0), ('an', 0), ('amplifier', 0), ('I', 0), ('have', 0), ('an', 0), ('effect', 0), ('that', 0), ('makes', 0), ('my', 0), ('Electric', 0), ('sound', 0), ('like', 0), ('a', 0), ('Violin', 1), ('GR-55', 0), ('and', 0), ('I', 0), ('have', 0), ('a', 0), ('pickup', 0), ('for', 0), ('a', 0), ('violin', 1), ('that', 0), ('allows', 0), ('me', 0), ('to', 0), ('make', 0), ('it', 0), ('sound', 0), ('like', 0), ('a', 0), ('sustained', 2), ('distorted', 0), ('electric', 0), ('when', 0), ('picked', 0), ('The', 0), ('timbre', 0), ('is', 0), ('still', 0), ('quite', 0), ('different', 0), ('though', 0), ('that', 0), ('is', 0), ('what', 0), ('makes', 0), ('them', 0), ('different', 0), ('sounding', 0), ('really', 0), ('Even', 0), ('a', 0), ('fretted', 0), ('steel', 0), ('strung', 0), ('violin', 1), ('or', 0), ('a', 0), ('fretless', 0), ('4', 0), ('string', 0), ('electric', 0), ('guitar', 1), ('still', 0), ('sounds', 0), ('like', 0), ('a', 0), ('violin', 1), ('vs', 0), ('a', 0), ('guitar', 1)]"
The jazz guitar timbre used in concert classical music composition,"[('The', 0), ('jazz', 0), ('guitar', 0), ('timbre', 0), ('used', 0), ('in', 0), ('concert', 0), ('classical', 0), ('music', 0), ('composition', 0)]"
As a guitarist who often plays jazz I agree with you There is a lot of possibilities within the world of clean electric guitar tones The examples you gave are perfect I think Metheny s tone is a little more bright and clear more treble or mids I suppose Adam Rogers has got more of the dark warm bassy thing going on depending on the context I like that warm tone but I think some players let it get a tad too muddy for my tastes Anywho the electric guitar by its very nature offers vast timbral possibilities that could be massively useful in that context I imagine it is just a matter of time before we see more of it Hopefully The Los Angeles 8 are a guitar ensemble that plays electric guitars Here is a video of them playing the third movement of Steve Reich s electric counterpoint I get the impression that they are trying to earn the electric guitar some street cred in the realm of concert music The ensemble is different than the context you suggested but it seemed relevant,"[('As', 0), ('a', 0), ('guitarist', 0), ('who', 0), ('often', 0), ('plays', 0), ('jazz', 0), ('I', 0), ('agree', 0), ('with', 0), ('you', 0), ('There', 0), ('is', 0), ('a', 0), ('lot', 0), ('of', 0), ('possibilities', 0), ('within', 0), ('the', 0), ('world', 0), ('of', 0), ('clean', 0), ('electric', 0), ('guitar', 0), ('tones', 0), ('The', 0), ('examples', 0), ('you', 0), ('gave', 0), ('are', 0), ('perfect', 0), ('I', 0), ('think', 0), ('Metheny', 0), ('s', 0), ('tone', 0), ('is', 0), ('a', 0), ('little', 0), ('more', 0), ('bright', 2), ('and', 0), ('clear', 0), ('more', 0), ('treble', 0), ('or', 0), ('mids', 0), ('I', 0), ('suppose', 0), ('Adam', 0), ('Rogers', 0), ('has', 0), ('got', 0), ('more', 0), ('of', 0), ('the', 0), ('dark', 2), ('warm', 2), ('bassy', 0), ('thing', 0), ('going', 0), ('on', 0), ('depending', 0), ('on', 0), ('the', 0), ('context', 0), ('I', 0), ('like', 0), ('that', 0), ('warm', 2), ('tone', 0), ('but', 0), ('I', 0), ('think', 0), ('some', 0), ('players', 0), ('let', 0), ('it', 0), ('get', 0), ('a', 0), ('tad', 0), ('too', 0), ('muddy', 0), ('for', 0), ('my', 0), ('tastes', 0), ('Anywho', 0), ('the', 0), ('electric', 0), ('guitar', 0), ('by', 0), ('its', 0), ('very', 0), ('nature', 0), ('offers', 0), ('vast', 0), ('timbral', 0), ('possibilities', 0), ('that', 0), ('could', 0), ('be', 0), ('massively', 0), ('useful', 0), ('in', 0), ('that', 0), ('context', 0), ('I', 0), ('imagine', 0), ('it', 0), ('is', 0), ('just', 0), ('a', 0), ('matter', 0), ('of', 0), ('time', 0), ('before', 0), ('we', 0), ('see', 0), ('more', 0), ('of', 0), ('it', 0), ('Hopefully', 0), ('The', 0), ('Los', 0), ('Angeles', 0), ('8', 0), ('are', 0), ('a', 0), ('guitar', 0), ('ensemble', 0), ('that', 0), ('plays', 0), ('electric', 0), ('guitars', 0), ('Here', 0), ('is', 0), ('a', 0), ('video', 0), ('of', 0), ('them', 0), ('playing', 0), ('the', 0), ('third', 0), ('movement', 0), ('of', 0), ('Steve', 0), ('Reich', 0), ('s', 0), ('electric', 0), ('counterpoint', 0), ('I', 0), ('get', 0), ('the', 0), ('impression', 0), ('that', 0), ('they', 0), ('are', 0), ('trying', 0), ('to', 0), ('earn', 0), ('the', 0), ('electric', 0), ('guitar', 0), ('some', 0), ('street', 0), ('cred', 0), ('in', 0), ('the', 0), ('realm', 0), ('of', 0), ('concert', 0), ('music', 0), ('The', 0), ('ensemble', 0), ('is', 0), ('different', 0), ('than', 0), ('the', 0), ('context', 0), ('you', 0), ('suggested', 0), ('but', 0), ('it', 0), ('seemed', 0), ('relevant', 0)]"
If you want some amazing timbre experiments with guitar check out Glenn Branca s works any of his symphonies and his Ascension are recommended It s been called post minimalism and totalism so I m not sure if that s what you re exactly looking for but they re worth checking out for anyone,"[('If', 0), ('you', 0), ('want', 0), ('some', 0), ('amazing', 0), ('timbre', 0), ('experiments', 0), ('with', 0), ('guitar', 0), ('check', 0), ('out', 0), ('Glenn', 0), ('Branca', 0), ('s', 0), ('works', 0), ('any', 0), ('of', 0), ('his', 0), ('symphonies', 0), ('and', 0), ('his', 0), ('Ascension', 0), ('are', 0), ('recommended', 0), ('It', 0), ('s', 0), ('been', 0), ('called', 0), ('post', 0), ('minimalism', 0), ('and', 0), ('totalism', 0), ('so', 0), ('I', 0), ('m', 0), ('not', 0), ('sure', 0), ('if', 0), ('that', 0), ('s', 0), ('what', 0), ('you', 0), ('re', 0), ('exactly', 0), ('looking', 0), ('for', 0), ('but', 0), ('they', 0), ('re', 0), ('worth', 0), ('checking', 0), ('out', 0), ('for', 0), ('anyone', 0)]"
The NOW Ensemble is a chamber music group that incorporates an electric guitar player,"[('The', 0), ('NOW', 0), ('Ensemble', 0), ('is', 0), ('a', 0), ('chamber', 0), ('music', 0), ('group', 0), ('that', 0), ('incorporates', 0), ('an', 0), ('electric', 0), ('guitar', 0), ('player', 0)]"
Bernstein used electric guitar with a similar sound on a few pieces Slava and Mass immediately come to mind and I m pretty sure there s more but I can t come up with them at 1 30AM I also played in a premier of a piece by Guillermo Klein called Solar Return Suite that featured it It s a great sound that has tons of untapped potential I think the only reason it isn t used more is just that it s not standard,"[('Bernstein', 0), ('used', 0), ('electric', 0), ('guitar', 0), ('with', 0), ('a', 0), ('similar', 0), ('sound', 0), ('on', 0), ('a', 0), ('few', 0), ('pieces', 0), ('Slava', 0), ('and', 0), ('Mass', 0), ('immediately', 0), ('come', 0), ('to', 0), ('mind', 0), ('and', 0), ('I', 0), ('m', 0), ('pretty', 0), ('sure', 0), ('there', 0), ('s', 0), ('more', 0), ('but', 0), ('I', 0), ('can', 0), ('t', 0), ('come', 0), ('up', 0), ('with', 0), ('them', 0), ('at', 0), ('1', 0), ('30AM', 0), ('I', 0), ('also', 0), ('played', 0), ('in', 0), ('a', 0), ('premier', 0), ('of', 0), ('a', 0), ('piece', 0), ('by', 0), ('Guillermo', 0), ('Klein', 0), ('called', 0), ('Solar', 0), ('Return', 0), ('Suite', 0), ('that', 0), ('featured', 0), ('it', 0), ('It', 0), ('s', 0), ('a', 0), ('great', 0), ('sound', 0), ('that', 0), ('has', 0), ('tons', 0), ('of', 0), ('untapped', 0), ('potential', 0), ('I', 0), ('think', 0), ('the', 0), ('only', 0), ('reason', 0), ('it', 0), ('isn', 0), ('t', 0), ('used', 0), ('more', 0), ('is', 0), ('just', 0), ('that', 0), ('it', 0), ('s', 0), ('not', 0), ('standard', 0)]"
